Frequency,AngleOfAttack,ChordLength, FreeStreamVelocity,SuctionSideDisplacementThickness,ScaledSoundPressureLevel
800,0,3.048,71.3,266.337,126.201
1000,0,3.048,71.3,266.337,125.201
1250,0,3.048,71.3,266.337,125.951
1600,0,3.048,71.3,266.337,127.591
2000,0,3.048,71.3,266.337,127.461
2500,0,3.048,71.3,266.337,125.571
3150,0,3.048,71.3,266.337,125.201
4000,0,3.048,71.3,266.337,123.061
5000,0,3.048,71.3,266.337,121.301
6300,0,3.048,71.3,266.337,119.541
8000,0,3.048,71.3,266.337,117.151
10000,0,3.048,71.3,266.337,115.391
12500,0,3.048,71.3,266.337,112.241
16000,0,3.048,71.3,266.337,108.721
500,0,3.048,55.5,283.081,126.416
630,0,3.048,55.5,283.081,127.696
800,0,3.048,55.5,283.081,128.086
1000,0,3.048,55.5,283.081,126.966
1250,0,3.048,55.5,283.081,126.086
1600,0,3.048,55.5,283.081,126.986
2000,0,3.048,55.5,283.081,126.616
2500,0,3.048,55.5,283.081,124.106
3150,0,3.048,55.5,283.081,123.236
4000,0,3.048,55.5,283.081,121.106
5000,0,3.048,55.5,283.081,119.606
6300,0,3.048,55.5,283.081,117.976
8000,0,3.048,55.5,283.081,116.476
10000,0,3.048,55.5,283.081,113.076
12500,0,3.048,55.5,283.081,111.076
200,0,3.048,39.6,310.138,118.129
250,0,3.048,39.6,310.138,119.319
315,0,3.048,39.6,310.138,122.779
400,0,3.048,39.6,310.138,124.809
500,0,3.048,39.6,310.138,126.959
630,0,3.048,39.6,310.138,128.629
800,0,3.048,39.6,310.138,129.099
1000,0,3.048,39.6,310.138,127.899
1250,0,3.048,39.6,310.138,125.499
1600,0,3.048,39.6,310.138,124.049
2000,0,3.048,39.6,310.138,123.689
2500,0,3.048,39.6,310.138,121.399
3150,0,3.048,39.6,310.138,120.319
4000,0,3.048,39.6,310.138,119.229
5000,0,3.048,39.6,310.138,117.789
6300,0,3.048,39.6,310.138,116.229
8000,0,3.048,39.6,310.138,114.779
10000,0,3.048,39.6,310.138,112.139
12500,0,3.048,39.6,310.138,109.619
200,0,3.048,31.7,331.266,117.195
250,0,3.048,31.7,331.266,118.595
315,0,3.048,31.7,331.266,122.765
400,0,3.048,31.7,331.266,125.045
500,0,3.048,31.7,331.266,127.315
630,0,3.048,31.7,331.266,129.095
800,0,3.048,31.7,331.266,129.235
1000,0,3.048,31.7,331.266,127.365
1250,0,3.048,31.7,331.266,124.355
1600,0,3.048,31.7,331.266,122.365
2000,0,3.048,31.7,331.266,122.375
2500,0,3.048,31.7,331.266,120.755
3150,0,3.048,31.7,331.266,119.135
4000,0,3.048,31.7,331.266,118.145
5000,0,3.048,31.7,331.266,115.645
6300,0,3.048,31.7,331.266,113.775
8000,0,3.048,31.7,331.266,110.515
10000,0,3.048,31.7,331.266,108.265
800,1.5,3.048,71.3,336.729,127.122
1000,1.5,3.048,71.3,336.729,125.992
1250,1.5,3.048,71.3,336.729,125.872
1600,1.5,3.048,71.3,336.729,126.632
2000,1.5,3.048,71.3,336.729,126.642
2500,1.5,3.048,71.3,336.729,124.512
3150,1.5,3.048,71.3,336.729,123.392
4000,1.5,3.048,71.3,336.729,121.762
5000,1.5,3.048,71.3,336.729,119.632
6300,1.5,3.048,71.3,336.729,118.122
8000,1.5,3.048,71.3,336.729,115.372
10000,1.5,3.048,71.3,336.729,113.492
12500,1.5,3.048,71.3,336.729,109.222
16000,1.5,3.048,71.3,336.729,106.582
315,1.5,3.048,39.6,392.107,121.851
400,1.5,3.048,39.6,392.107,124.001
500,1.5,3.048,39.6,392.107,126.661
630,1.5,3.048,39.6,392.107,128.311
800,1.5,3.048,39.6,392.107,128.831
1000,1.5,3.048,39.6,392.107,127.581
1250,1.5,3.048,39.6,392.107,125.211
1600,1.5,3.048,39.6,392.107,122.211
2000,1.5,3.048,39.6,392.107,122.101
2500,1.5,3.048,39.6,392.107,120.981
3150,1.5,3.048,39.6,392.107,119.111
4000,1.5,3.048,39.6,392.107,117.741
5000,1.5,3.048,39.6,392.107,116.241
6300,1.5,3.048,39.6,392.107,114.751
8000,1.5,3.048,39.6,392.107,112.251
10000,1.5,3.048,39.6,392.107,108.991
